
1.000000000000000e-07	1.355689031606559e-08	
2.000000000000000e-07	1.083433040844530e-10	
3.100000000000000e-07	9.656853450603533e-11	
4.310000000000000e-07	8.878575353624422e-11	
5.641000000000000e-07	8.255015995521067e-11	
7.105100000000001e-07	7.719494527352213e-11	
8.715610000000001e-07	7.244445227668542e-11	
1.048717100000000e-06	6.812207653329116e-11	
1.243588810000000e-06	6.412162353046333e-11	
1.457947691000000e-06	6.038064051853299e-11	
1.693742460100001e-06	5.685867638737306e-11	
1.953116706110001e-06	5.352709981111879e-11	
2.238428376721001e-06	5.036484929666322e-11	
2.552271214393101e-06	4.735613214192860e-11	
2.897498335832412e-06	4.448883839987804e-11	
3.277248169415653e-06	4.175335699289675e-11	
3.694972986357219e-06	3.914167406771680e-11	
4.154470284992941e-06	3.664671070784316e-11	
4.659917313492236e-06	3.426190030524873e-11	
5.215909044841460e-06	3.198100584897978e-11	
5.827499949325606e-06	2.979814745419974e-11	
6.500249944258167e-06	2.770797585932005e-11	
7.240274938683984e-06	2.570590781785065e-11	
8.054302432552383e-06	2.378834130148458e-11	
8.949732675807621e-06	2.195278836557988e-11	
9.934705943388385e-06	2.019789238004631e-11	
1.101817653772722e-05	1.852332524896231e-11	
1.220999419149995e-05	1.692958328446299e-11	
1.352099361064994e-05	1.541771482559390e-11	
1.496309297171494e-05	1.398901823167373e-11	
1.654940226888643e-05	1.264474686701596e-11	
1.829434249577508e-05	1.138585033595624e-11	
2.021377674535259e-05	1.021277110909585e-11	
2.232515441988785e-05	9.125305222486269e-12	
2.464766986187663e-05	8.122526805591408e-12	
2.720243684806430e-05	7.202769844844432e-12	
3.001268053287073e-05	6.363657022280994e-12	
3.310394858615781e-05	5.602164262115528e-12	
3.650434344477359e-05	4.914710016512972e-12	
4.024477778925096e-05	4.297259586163015e-12	
4.435925556817606e-05	3.745436333282160e-12	
4.888518112499367e-05	3.254633188792386e-12	
5.386369923749304e-05	2.820119270948846e-12	
5.934006916124235e-05	2.437137718736295e-12	
6.536407607736659e-05	2.100992035704102e-12	
7.199048368510326e-05	1.807119349103670e-12	
7.927953205361359e-05	1.551149986637271e-12	
8.729748525897496e-05	1.328953598469627e-12	
9.611723378487246e-05	1.136672648904226e-12	
1.058189571633597e-04	9.707444479390562e-13	
1.164908528796957e-04	8.279130206262040e-13	
1.282299381676653e-04	7.052320989722884e-13	
1.411429319844318e-04	6.000604615965507e-13	
1.553472251828750e-04	5.100508096404973e-13	
1.709719477011625e-04	4.331333883462176e-13	
1.881591424712788e-04	3.674956190688139e-13	
2.070650567184067e-04	3.115590666207841e-13	
2.278615623902474e-04	2.639550605887721e-13	
2.507377186292721e-04	2.235002147055275e-13	
2.759014904921994e-04	1.891729073794112e-13	
3.035816395414193e-04	1.600915395745174e-13	
3.340298034955613e-04	1.354950954558518e-13	
3.675227838451174e-04	1.147262412439473e-13	
4.043650622296292e-04	9.721694414354702e-14	
4.448915684525921e-04	8.247640243457147e-14	
4.894707252978514e-04	7.008096174619640e-14	
5.385077978276366e-04	5.966564926697642e-14	
5.924485776104002e-04	5.091697296330752e-14	
6.517834353714404e-04	4.356668661361945e-14	
7.170517789085845e-04	3.738629176349876e-14	
7.888469567994430e-04	3.218211713067173e-14	
8.678216524793873e-04	2.779087317080609e-14	
9.546938177273261e-04	2.407562170577474e-14	
1.050253199500059e-03	2.092212501889715e-14	
1.155368519450065e-03	1.823555468528129e-14	
1.270995371395071e-03	1.593754577606705e-14	
1.398184908534579e-03	1.396358360822357e-14	
1.538093399388036e-03	1.226070935723628e-14	
1.691992739326840e-03	1.078552817056149e-14	
1.861282013259524e-03	9.502500430034338e-15	
2.047500214585477e-03	8.382493764594602e-15	
2.252340236044025e-03	7.401571575285701e-15	
2.477664259648428e-03	6.539990936809207e-15	
2.725520685613271e-03	5.781384360681611e-15	
2.998162754174598e-03	5.112097805747573e-15	
3.298069029592058e-03	4.520660730186414e-15	
3.627965932551264e-03	3.997364945900563e-15	
3.990852525806391e-03	3.533931850311410e-15	
4.390027778387031e-03	3.123250408065306e-15	
4.829120556225734e-03	2.759171008443395e-15	
5.312122611848308e-03	2.436342962147766e-15	
5.843424873033140e-03	2.150085875698462e-15	
6.427857360336454e-03	1.896287079076645e-15	
7.070733096370099e-03	1.671319148125889e-15	
7.777896406007110e-03	1.471972889437174e-15	
8.555776046607821e-03	1.295402276292244e-15	
9.411443651268604e-03	1.139078684437038e-15	
1.000000000000000e-02	1.049769188526775e-15	
